集数,场景号,镜头号,类型,时长,地点,时间,内外,人物,画面,动作,运镜,说话人,台词,情绪,表演提示,BGM,音效,氛围
1,1,1,特写,3 秒,夜店卡座,夜,内,"楚烨, 银裙模特, 红发调酒师",楚烨英俊的侧脸，被频闪灯不断切割。他嘴角挂着程式化的微笑。,楚烨眼神冰冷地扫视全场。,推,系统音,爽文行为判定通过，生存点数+50。,冰冷,画外音,迷幻电子乐,"重低音鼓点, 人群喧哗",迷幻、虚假
1,1,2,中景,4 秒,夜店卡座,夜,内,"楚烨, 银裙模特, 红发调酒师",楚烨左拥右抱，与两位美女互动。他的视网膜上，红色倒计时和红玫瑰投影清晰可见。,楚烨慵懒地替红发调酒师拂去酒渍。,固定,,,,,迷幻电子乐,"女人笑声, 酒杯碰撞声",迷幻、虚假
1,1,3,特写,2 秒,夜店卡座,夜,内,"楚烨, 银裙模特, 红发调酒师",楚烨眉头微不可查地一皱，眼神瞬间锐利。,楚烨身体不易察觉地僵硬了一下。,固定,,,,,紧张弦乐渐入,脊椎刺痛音效,迷幻、虚假
1,1,4,中景,3 秒,夜店卡座,夜,内,"楚烨, 银裙模特, 红发调酒师",楚烨不动声色地推开银裙模特的手，端起威士忌。,他将酒一饮而尽。,摇,,,,,紧张弦乐,"吞咽声, 女人失望的轻呼",迷幻、虚假
1,1,5,主观视角/远景,4 秒,夜店卡座,夜,内,"楚烨, 银裙模特, 红发调酒师",穿过舞池人群，吧台尽头的阴影里，坐着穿深色风衣的沈清冷。,楚烨的目光锁定她。,固定,,,,,紧张弦乐,音乐渐弱,迷幻、虚假
1,1,6,中景,3 秒,夜店卡座,夜,内,"楚烨, 银裙模特, 红发调酒师",楚烨起身，穿过舞池。,他推开人群，径直走向吧台。,跟拍,,,,,紧张弦乐,"脚步声, 人群摩擦声",迷幻、虚假
1,2,7,双人镜头,3 秒,夜店吧台,夜,内,"楚烨, 沈清冷",楚烨在沈清冷身旁坐下。沈清冷面前一杯未动的苏打水。,楚烨示意调酒师点单。沈清冷未转头。,固定,沈清冷,你今晚的生存点数结算有异常波动。,冰冷,语气像刀刃,悬疑、冰冷,,冰冷、对峙
1,2,8,特写,2 秒,夜店吧台,夜,内,"楚烨, 沈清冷",楚烨接过苏打水，嘴角勾起玩味的笑。,他喝了一口水。,固定,楚烨,沈总亲自来查我的账？,戏谑,,悬疑、冰冷,气泡声,冰冷、对峙
1,2,9,特写,2 秒,夜店吧台,夜,内,"楚烨, 沈清冷",沈清冷偏过头，丹凤眼锐利如刀。,她直视楚烨。,推,沈清冷,培养皿的心律紊乱，意味着基因锁裂了。,警告,,悬疑、冰冷,,冰冷、对峙
1,2,10,特写（手部）,2 秒,夜店吧台,夜,内,"楚烨, 沈清冷",沈清冷戴着黑手套的右手握着水杯，中指与无名指在细微、不规律地颤抖。,手部特写。,固定,,,,,悬疑、冰冷,轻微电流音,冰冷、对峙
